cruise,station,cast,sample_name,datetime_UTC_start,datetime_UTC_end,latitude_start,longitude_start,latitude_end,longitude_end,depth_bottom,depth_target,depth_TDR,net_max_depth,avg_angle,max_wire_out,wire_rate_out,wire_rate_in,STW_start,SOG_start,STW_end,SOG_end,flowmeter_sn_335,flow_start_335,flow_end_335,tot_flow_counts_335,vol_filtered_335,NOAA_335,DNA_335,flowmeter_sn_150,flow_start_150,flow_end_150,tot_flow_counts_150,vol_filtered_150,morph_ID_150,DNA_150,size_fract_150,taxa_pick_150,size_fract_20,haul_factor_10m2_335,haul_factor_10m2_150,haul_factor_100m3_335,haul_factor_100m3_150,comments,primary_flag,secondary_flag
AR34B,L2,4,AR34B_L2_R4,2019-04-15T08:27:00Z,2019-04-15T08:31:00Z,41.031,-70.881,41.031,-70.881,46,42,NA,42,NA,NA,NA,NA,0.22,0.64,0.07,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,Net zeroed halfway up instead of at the weight. OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR34B,L1,5,AR34B_L1_R5,2019-04-15T10:05:00Z,2019-04-15T10:08:00Z,41.197,-70.883,41.197,-70.883,21,19,NA,19,NA,NA,NA,NA,0.08,0.51,0.09,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR34B,L7,6,AR34B_L7_R6,2019-04-17T03:32:00Z,2019-04-17T03:40:53Z,40.226,-70.885,40.226,-70.884,126,123,NA,123,NA,NA,NA,NA,0.14,1.01,0.02,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR34B,L5,7,AR34B_L5_R7,2019-04-17T06:31:00Z,2019-04-17T06:35:00Z,40.513,-70.884,40.513,-70.884,76,73,NA,73,NA,NA,NA,NA,0.06,0.83,0.14,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,Green sample. OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR34B,L6,8,AR34B_L6_R8,2019-04-17T08:14:00Z,2019-04-17T08:20:00Z,40.364,-70.884,40.364,-70.884,93,90,NA,90,NA,NA,NA,NA,0.12,0.36,0.15,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR34B,L8,9,AR34B_L8_R9,2019-04-18T02:10:00Z,2019-04-18T02:20:00Z,40.137,-70.776,40.137,-70.776,133,130,NA,130,NA,NA,NA,NA,0.15,0.02,0.2,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,Half salps. OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR34B,L11,10,AR34B_L11_R10,2019-04-18T06:01:00Z,2019-04-18T06:14:00Z,39.775,-70.883,39.775,-70.883,1567,200,NA,200,NA,NA,NA,NA,0.3,0.23,0.19,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR34B,L9,18,AR34B_L9_R18,2019-04-22T05:41:00Z,2019-04-22T05:51:00Z,40.099,-70.884,40.099,-70.884,147,144,NA,144,NA,NA,NA,NA,0.2,0.51,0.06,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR34B,L10,21,AR34B_L10_R21,2019-04-22T15:32:00Z,2019-04-22T15:52:00Z,NA,NA,NA,NA,445,200,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,"Cod end of ring net got tangled around the wire, not sure at what point of the tow it happened. No time to redo. Saved what was collected. OOI Pioneer cruise.",3,Target depth used for net max depth due to unavailable TDR data and wire information.
EN644,L1,1,EN644_L1_B1,2019-08-20T20:19:00Z,2019-08-20T20:23:02Z,41.1934,-70.8845,41.1922,-70.8822,21,16,19,19.21,40,21,11,10,1.67,1.67,1.12,1.12,28769,262262,271642,9380,73.654,Y,Y,28770,514713,522349,7636,59.96,Y,Y,Y,Y,Y,2.608,3.204,1.358,1.668,Rebuilt flowmeter 28769 prior to tow and got it spinning well. Drilling out the little hole in cap that the metal bar sits in fixed it.,1,NA
EN644,L2,2,EN644_L2_B2,2019-08-21T00:01:02Z,2019-08-21T00:10:00Z,41.0276,-70.8794,41.0267,-70.8761,47,43,46,46.11,37,50,5,10,1.31,1.31,1.53,1.53,28769,271643,286703,15060,118.255,Y,Y,28770,522347,532893,13532,106.264,Y,Y,Y,Y,Y,3.899,4.339,0.846,0.941,"TDR reading 4m at the surface, needs offset. switched to TDR SN C9446 before rest of cruise. Fixed 150 um flowmeter with correction factor.",1,NA
EN644,L3,5,EN644_L3_B5,2019-08-21T08:15:02Z,2019-08-21T08:25:02Z,40.8648,-70.8748,40.8676,-70.8688,55,50,41,42.16,45,63,10,10,1.57,1.57,1.66,1.66,28769,286699,310266,23567,185.055,Y,Y,28770,532893,546702,21177,166.29,Y,Y,Y,Y,Y,2.278,2.535,0.54,0.601,C9947 TDR also has an offset 5.6 m. Will test both on CTD. Fixed 150 um flowmeter with correction factor.,1,NA
EN644,L6,7,EN644_L6_B7,2019-08-21T21:12:00Z,2019-08-21T21:25:00Z,40.3441,-70.875,40.3378,-70.8751,97,90,89,88.27,55,140,20,20,1.48,1.48,1.89,1.89,28769,312720,338793,26073,204.733,Y,Y,28770,546716,573688,26972,211.792,Y,Y,Y,Y,Y,4.311,4.168,0.488,0.472,NA,1,NA
EN644,L7,8,EN644_L7_B8,2019-08-22T02:51:00Z,2019-08-22T03:05:00Z,40.2217,-70.8846,40.2158,-70.8879,128,120,111,111.75,45,170,20,20,1.06,1.06,2.03,2.03,28769,338792,374373,35581,279.392,Y,Y,28770,573687,606850,33163,260.406,Y,Y,Y,Y,Y,4,4.291,0.358,0.384,Tore small net. Still had a sample but not usable for future tows.,1,NA
EN644,L8,9,EN644_L8_B9,2019-08-22T05:31:01Z,2019-08-22T05:36:01Z,40.1212,-70.7736,40.1194,-70.7792,NA,NA,NA,NA,NA,NA,NA,NA,2.91,2.91,2.94,2.94,28769,NA,NA,NA,NA,N,N,28770,NA,NA,NA,NA,N,N,N,N,N,NA,NA,NA,NA,Deployed and recovered without sample. Conditions too rough to re do cast.,3,no sample.
EN644,L10,13,EN644_L10_B13,2019-08-22T17:47:01Z,2019-08-22T18:15:01Z,39.9319,-70.8849,39.9255,-70.8883,463,200,218,218.15,NA,245,20,20,1.28,1.28,0.63,0.63,28769,457151,493898,36747,288.548,Y,Y,28770,678146,688109,33020,259.289,Y,Y,Y,Y,Y,7.56,8.413,0.347,0.386,Fixed 150 um flowmeter with correction factor.,1,NA
EN644,L11,17,EN644_L11_B17,2019-08-23T03:07:02Z,2019-08-23T03:30:02Z,39.762,-71.0547,39.756,-71.0559,1400,200,203,203.42,NA,250,20,20,1.7,1.7,1.43,1.43,28769,493871,534484,40613,318.905,Y,Y,28770,306731,345998,39267,308.336,Y,Y,Y,Y,Y,6.379,6.597,0.314,0.324,"Rebuilt flowmeter 28770 prior to this cast. Been too low for several casts, but wasnt really stiff, now it is smoother.",1,NA
EN644,L9,18,EN644_L9_B18,2019-08-23T16:15:02Z,2019-08-23T16:30:02Z,40.1152,-70.8848,40.1223,-70.886,145,120,122,122.39,40,157,20,20,1.47,1.47,1.63,1.63,28769,423368,452695,29327,230.284,Y,Y,28770,345998,371379,25381,199.299,Y,Y,Y,Y,Y,5.315,6.141,0.434,0.502,Now have 20um net back on (repaired with tape). 3rd attempt to collect sample here. Got a sample.,1,NA
EN644,L5,22,EN644_L5_B22,2019-08-24T03:21:02Z,2019-08-24T03:29:00Z,40.5178,-70.8856,40.5202,-70.8864,77,68,66,65.79,40,83,20,20,0.53,0.53,1.29,1.29,28769,563681,578062,14381,112.924,Y,Y,28770,371368,384917,13549,106.391,Y,Y,Y,Y,Y,5.826,6.184,0.886,0.94,Fixed 5m offset of TDRs so should be good now.,1,NA
EN644,L4,23,EN644_L4_B23,2019-08-24T04:53:47Z,2019-08-24T05:04:11Z,40.6955,-70.888,40.6968,-70.8936,67,55,63,63.7,30,70,20,20,1.27,1.27,0.92,0.92,28769,578068,589238,11170,87.71,Y,Y,28770,384929,395089,10160,79.779,Y,Y,Y,Y,Y,7.263,7.985,1.14,1.253,NA,1,NA
EN644,MVCO,29,EN644_MVCO_B29,2019-08-25T04:43:02Z,2019-08-25T04:47:02Z,41.3175,-70.5854,41.3174,-70.5832,20,15,13,13.01,40,18,10,10,1.39,1.39,1.59,1.59,28769,586960,594616,7656,60.117,Y,Y,28770,391248,396793,5545,43.541,Y,Y,Y,Y,Y,2.164,2.988,1.663,2.297,"Lots of ctenophores, did our best to remove them, not included in size frac either.",1,NA
AR38,L3,2,AR38_L3_B2,2019-09-20T20:33:05Z,2019-09-20T20:39:05Z,40.856,-70.889,40.854,-70.89,55,50,NA,50,35,NA,30,30,1.52,1.21,1.53,1.88,29914,439818,499256,59438,82.269,Y,N,29913,600649,622563,21914,172.075,Y,Y,Y,N,N,6.078,2.906,1.216,0.581,5% of 150 um spilled.,3,volume sampled calculated based on ship speed and winch wire angle not flowmeter.
AR38,L6,8,AR38_L6_B8,2019-09-21T05:06:00Z,2019-09-21T05:25:05Z,41.524,-70.672,40.353,-70.893,93,88,80,80,45,NA,30,30,1.99,1.92,0.09,0.49,29914,499256,547568,48312,379.36,Y,N,29913,622560,660599,38039,298.693,Y,Y,Y,N,N,2.109,2.678,0.264,0.335,"Holding at 14 m wire out for about 7 mins at 10 m. Non quantitative. Labels in jars note time in UTC wrong, should be 05xx not 06xx.",1,NA
AR38,L7,9,AR38_L7_B8,2019-09-21T07:10:05Z,2019-09-21T07:25:00Z,40.223,-70.882,40.22,-70.89,125,120,121,121,40,NA,30,30,1.82,2.43,1.71,1.64,29914,547571,575057,27486,215.828,Y,N,29913,660594,687551,26957,211.674,Y,Y,Y,N,N,5.606,5.716,0.463,0.472,NA,1,NA
AR38,L9,10,AR38_L9_B10,2019-09-21T09:09:00Z,2019-09-21T09:27:00Z,40.096,-70.884,40.095,-70.894,145,140,140,140,35,NA,30,30,0.8,1.69,1.61,1.6,29914,575060,606074,31014,243.531,Y,N,29913,687554,718549,30995,243.382,Y,Y,Y,N,N,5.749,5.752,0.411,0.411,335 um 5-10 ml spilled.,1,NA
AR38,L10,11,AR38_L10_B11,2019-09-21T11:32:00Z,2019-09-21T11:59:00Z,39.936,-70.886,39.935,-70.903,450,200,NA,200,30,NA,30,30,0.21,0.39,1.65,2.21,29914,606673,656777,50104,393.431,Y,N,29913,718545,769193,50648,397.703,Y,Y,Y,N,N,5.083,5.029,0.254,0.251,NA,3,Target depth used for net max depth due to unavailable TDR data and wire information.
AR38,L11,12,AR38_L11_B12,2019-09-21T15:18:00Z,2019-09-21T15:43:00Z,39.771,-70.892,39.774,-70.91,1600,200,NA,200,NA,NA,30,30,1.79,2.64,1.4,2.24,29914,656778,693499,36721,288.344,Y,N,29913,769193,806102,36909,289.82,Y,Y,Y,N,N,6.936,6.901,0.347,0.345,Thin sample. Offshore.,3,Target depth used for net max depth due to unavailable TDR data and wire information.
AR38,L4,14,AR38_L4_B14,2019-09-22T02:12:05Z,2019-09-22T02:20:00Z,40.702,-70.882,40.704,-70.876,68,60,NA,60,NA,NA,30,30,2.16,1.59,2.46,2.32,29914,693499,713997,20498,160.956,Y,N,29913,806104,816761,10657,83.682,Y,Y,Y,N,N,3.728,7.17,0.621,1.195,335 split into 3 jars (all salps and jelly). Dumped 21/2 150 um purely salps.,3,Target depth used for net max depth due to unavailable TDR data and wire information.
AR38,L3,16,AR38_L3_B16,2019-09-22T04:37:00Z,2019-09-22T04:43:00Z,40.864,-70.882,40.868,-70.881,53,48,NA,48,35,NA,30,30,1.97,2.01,1.8,2.09,29914,713993,724318,10325,106.624,Y,N,29913,816706,826788,10082,79.167,Y,Y,Y,N,N,4.502,6.063,0.938,1.263,Salpy but not bad as as L4.,3,volume sampled calculated based on ship speed and winch wire angle not flowmeter.
AR38,L2,19,AR38_L2_B19,2019-09-22T08:25:00Z,2019-09-22T08:30:00Z,41.03,-70.883,41.032,-70.881,45,40,NA,40,35,NA,20,20,1.38,1.59,1.97,2.1,29914,724319,734594,10275,80.682,Y,N,29913,826790,834309,7519,59.041,Y,Y,Y,N,N,4.958,6.775,1.239,1.694,NA,3,Target depth used for net max depth due to unavailable TDR data and wire information.
AR39B,L1,1,AR39B_L1_R1,2019-10-05T22:57:45Z,NA,41.195,-70.885,NA,NA,NA,NA,NA,20,NA,20,NA,NA,0,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,Kept most jellys. OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR39B,L2,2,AR39B_L2_R2,2019-10-06T00:30:00Z,NA,41.03,-70.883,NA,NA,NA,NA,NA,40,NA,40,NA,NA,0.29,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,Kept most jellys. OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR39B,L3,3,AR39B_L3_R3,2019-10-06T02:15:00Z,NA,40.863,-70.883,NA,NA,NA,NA,NA,49,NA,49,NA,NA,0.34,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,Kept most jellys. OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR39B,L4,4,AR39B_L4_R4,2019-10-06T04:05:00Z,NA,40.697,-70.884,NA,NA,NA,NA,NA,60,NA,60,NA,NA,0.03,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR39B,L5,5,AR39B_L5_R5,2019-10-06T06:02:00Z,NA,40.515,-70.885,NA,NA,NA,NA,NA,71,NA,71,NA,NA,0.3,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR39B,L6,6,AR39B_L6_R6,2019-10-06T14:56:30Z,NA,40.364,-70.883,NA,NA,NA,NA,NA,87,NA,87,NA,NA,0.02,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,Sat at surface longer. OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR39B,L8,7,AR39B_L8_R7,2019-10-07T14:29:00Z,NA,40.138,-70.774,NA,NA,NA,NA,NA,127,NA,127,NA,NA,0.2,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR39B,L7,8,AR39B_L7_R8,2019-10-07T19:09:00Z,NA,40.227,-70.883,NA,NA,NA,NA,NA,120,NA,120,NA,NA,0.15,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR39B,L9,9,AR39B_L9_R9,2019-10-08T03:00:00Z,NA,40.095,-70.887,NA,NA,NA,NA,NA,141,NA,141,NA,NA,0.1,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR39B,L11,10,AR39B_L11_R10,2019-10-08T06:33:00Z,NA,39.773,-70.886,NA,NA,NA,NA,NA,200,NA,200,NA,NA,0.28,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR39B,L10,11,AR39B_L10_R11,2019-10-08T20:20:00Z,NA,39.939,-70.882,NA,NA,NA,NA,NA,200,NA,200,NA,NA,0.15,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
EN649,L1,1,EN649_L1_B1,2020-02-01T18:48:55Z,2020-02-01T18:53:55Z,41.2087,-70.8935,41.2107,-70.8945,25,20,20,19.88,35,23,10,10,1.59,1.59,1.49,1.49,28769,845550,846206,7920,62.19,Y,Y,28770,640118,648038,7920,62.19,Y,Y,Y,Y,Y,3.197,3.197,1.608,1.608,Corrected 335 flowmeter value. Observed 29m depth when net at full wire out 22m. New 20um net deployed above bongo. 335 few ctenophores kept with sample. 150 couple jellies again.,1,NA
EN649,MVCO,2,EN649_MVCO_B2,2020-02-01T23:26:00Z,2020-02-01T23:31:00Z,41.3214,-70.5812,41.3206,-70.5837,18,14,17,17.36,25,18,10,10,1.73,1.73,1.2,1.2,28769,846208,846803,5031,39.505,Y,Y,28770,648036,653067,5031,39.505,Y,Y,Y,Y,Y,4.394,4.394,2.531,2.531,Corrected 335 flowmeter value. Several ctenophores but not removed expect only ctenophore goo was in >1000 um size fraction. Worked on 335 flowmeter after this tow will see.,1,NA
EN649,L2,5,EN649_L2_B5,2020-02-02T09:16:50Z,2020-02-02T09:28:53Z,41.0319,-70.8913,41.0332,-70.8974,47,42,44,44.02,40,56,10,10,1.69,1.69,1.87,1.87,28769,878964,899276,20312,159.496,Y,Y,28770,653068,675629,22561,177.156,Y,Y,Y,Y,Y,2.76,2.485,0.627,0.564,Ctenophores present 150um. Many chatognaths. 100-200 fraction had less material than the 20-100 fraction.,1,NA
EN649,L3,6,EN649_L3_B6,2020-02-02T12:40:05Z,2020-02-02T12:52:43Z,40.8632,-70.8917,40.8657,-70.8986,56,51,46,45.76,45,65,10,10,1.86,1.86,1.56,1.56,28769,899274,922408,23134,181.655,Y,Y,28770,675613,699178,23565,185.039,Y,Y,Y,Y,Y,2.519,2.473,0.55,0.54,54 m bottom depth mid tow. Very foamy sample both 150 and 335 um - picture available.,1,NA
EN649,L7,7,EN649_L7_B7,2020-02-02T23:07:00Z,2020-02-02T23:25:00Z,40.2198,-70.8985,40.2159,-70.9112,129,123,108,108.57,50,160,20,20,1.67,1.67,1.89,1.89,28769,922404,957606,35202,276.416,Y,Y,28770,699500,711278,35202,276.416,Y,Y,Y,Y,Y,3.928,3.928,0.362,0.362,Corrected 150 flowmeter values. Removed large salp from 150 um size fraction split.,1,NA
EN649,L8,8,EN649_L8_B8,2020-02-03T01:36:00Z,2020-02-03T01:58:00Z,40.121,-70.8076,40.1117,-70.825,138,133,110,110.26,55,210,20,20,0.99,0.99,1.63,1.63,28769,957606,959262,53150,417.349,Y,Y,28770,711250,764400,53150,417.349,Y,Y,Y,Y,Y,2.642,2.642,0.24,0.24,Corrected 335 flowmeter value. Pretty fast tow. 150 flowmeter numbers may have jumped because some are off centered; rebuilt to fix aligned mouth but not sure when caused. Flow seems reasonable because we were towing fast. 335 flow isnt right took apart again.,1,NA
EN649,L9,11,EN649_L9_B11,2020-02-03T09:31:54Z,2020-02-03T09:55:10Z,40.0902,-70.9232,40.0885,-70.9436,159,154,106,106.48,45,217,20,20,1.47,1.47,1.53,1.53,28769,700177,704997,32889,258.254,Y,Y,28770,492089,524978,32889,258.254,Y,Y,Y,Y,Y,4.123,4.123,0.387,0.387,Corrected 335 flowmeter value. Upon recovery did not seem to be too much sample. 335 few salps and krill. 150 some salpts too large to fit in the small container for 1/4 frozen taxa picking. 335 flow no good.,1,NA
EN649,L10,12,EN649_L10_B12,2020-02-03T18:22:00Z,2020-02-03T18:59:00Z,39.9366,-70.9128,39.9312,-70.9398,452,200,221,221.97,55,325,20,20,1.64,1.64,1.76,1.76,28769,705007,720134,39931,313.55,Y,Y,28770,524997,564928,39931,313.55,Y,Y,Y,Y,Y,7.079,7.079,0.319,0.319,Corrected 335 flowmeter value. Thin sample. Good number of krill. No salps. Warm slope water. 335 flow no good.,1,NA
EN649,L11,16,EN649_L11_B16,2020-02-04T13:16:12Z,2020-02-04T13:49:37Z,39.7693,-70.887200000000007,39.7605,-70.8931,1634,200,244,243.71,50,283,20,20,1.9,1.9,1.67,1.67,28769,720132,772237,52105,409.144,Y,Y,28770,557036,568279,52105,409.144,Y,Y,Y,Y,Y,5.957,5.957,0.244,0.244,"Corrected 150 flowmeter values. 335 small krill, clio like shelled pteropod. 150 siphonophore brocts does not appear to be salps. Copepods not abundant. 3/4 split fixed in formalin was divided int 2 pint jars (we ran out of quart jars). 25 mL formalin added to each jar.",1,NA
EN649,L6,19,EN649_L6_B19,2020-02-05T04:42:00Z,2020-02-05T04:57:00Z,40.2961,-70.8693,40.2888,-70.8696,115,105,96,96.46,50,145,20,20,1.84,1.84,1.92,1.92,28769,731444,739106,31076,244.018,Y,Y,28770,568280,599356,31076,244.018,Y,Y,Y,Y,Y,3.953,3.953,0.41,0.41,Corrected 335 flowmeter value. Started tow 4nm south of L6.,1,NA
EN649,L5,20,EN649_L5_B20,2020-02-05T06:43:55Z,2020-02-05T06:53:55Z,40.5154,-70.8769,40.5123,-70.8802,77,72,75,75.25,45,97,20,20,1.23,1.23,1.51,1.51,28769,739103,739934,16870,132.468,Y,Y,28770,599357,602330,16870,132.468,Y,Y,Y,Y,Y,5.681,5.681,0.755,0.755,Corrected 335 and 150 flowmeter value. 150 net full of diatoms and many chaetognaths and some sand lance notable lack of jellies as compared to offshore.,1,NA
EN649,L4,21,EN649_L4_B21,2020-02-05T09:31:03Z,2020-02-05T09:39:44Z,40.6991,-70.8866,40.7024,-70.8897,67,62,58,58.46,45,85,20,20,2.12,2.12,1.73,1.73,28769,739935,745236,18843,147.961,Y,Y,28770,602335,621178,18843,147.961,Y,Y,Y,Y,Y,3.951,3.951,0.676,0.676,"Corrected 335 flowmeter value. 335 net sand lance larvae and chaetognaths. 150 net many diatoms large sand lance larvae, chaetognaths.",1,NA
EN655,L1,1,EN655_L1_B1,2020-07-25T16:19:57Z,2020-07-25T16:27:00Z,41.2021,-70.879,41.1997,-70.8768,23,18,21,21.22,60,36,10,10,0.88,0.88,1.38,1.38,29914,19,15274,15255,119.787,Y,Y,29913,9,15500,15491,121.64,Y,Y,Y,Y,Y,1.771,1.744,0.835,0.822,NA,1,NA
EN655,L2,2,EN655_L2_B2,2020-07-25T18:22:57Z,2020-07-25T18:31:00Z,41.0298,-70.8748,41.0291,-70.8699,46,40,43,43.39,35,49,10,15,1.69,1.69,1.28,1.28,29914,15274,28765,13491,105.935,Y,Y,29913,15500,29028,13528,106.226,Y,Y,Y,Y,Y,4.096,4.085,0.944,0.941,"TDR offset of +6 m not fixed in files yet, but value here is corrected.",1,NA
EN655,L3,3,EN655_L3_B3,2020-07-25T22:08:57Z,2020-07-25T22:24:57Z,40.8478,-70.8811,40.8403,-70.8809,54,49,46,46.24,35,60,10,15,1.4,1.4,1.48,1.48,29914,28765,50030,21265,166.979,Y,Y,29913,29028,49872,20844,163.673,Y,Y,Y,Y,Y,2.769,2.825,0.599,0.611,"TDR offset of +6 m in files not fixed, but value here is corrected.",1,NA
EN655,L4,7,EN655_L4_B7,2020-07-26T11:53:57Z,2020-07-26T12:02:57Z,40.6978,-70.8814,40.6945,-70.8839,65,60,52,51.68,30,70,15,15,1.46,1.46,1.69,1.69,29914,50030,69327,19297,151.526,Y,Y,29913,49872,68660,18788,147.529,Y,Y,Y,Y,Y,3.411,3.503,0.66,0.678,"TDR offset of +6 m in files not fixed, but value here is corrected.",1,NA
EN655,L5,10,EN655_L5_B10,2020-07-26T19:39:00Z,2020-07-26T19:49:00Z,40.5049,-70.8765,40.5018,-70.8756,78,73,72,72.37,35,90,20,20,1.83,1.83,1.68,1.68,29914,69327,88240,18913,148.51,Y,Y,29913,68660,85838,17178,134.887,Y,Y,Y,Y,Y,4.873,5.365,0.673,0.741,Av angle 35-40.,1,NA
EN655,L7,11,EN655_L7_B11,2020-07-27T02:04:00Z,2020-07-27T02:20:00Z,40.2184,-70.8709,40.2145,-70.8687,128,120,128,128.71,40,140,20,20,1.95,1.95,1.71,1.71,29914,88154,110193,22039,173.057,N,N,29913,85840,106207,20367,159.928,Y,Y,Y,N,Y,7.437,8.048,0.578,0.625,"Av angle 45-25. 335 net skimmed the bottom and got mud sand in it, so we couldnt keep sample. 150 sample was good, so used 1/4 split for NOAA but there is no taxa picking sample (but could potentially be done from SIA samples if there is enough material).",1,NA
EN655,L10,12,EN655_L10_B12,2020-07-27T11:13:00Z,2020-07-27T11:41:00Z,39.932,-70.8875,39.9194,-70.8959,460,200,201,201.68,40,280,20,20,1.63,1.63,1.76,1.76,29914,110193,162306,52113,409.206,Y,Y,29913,106202,157722,51520,404.55,Y,Y,Y,Y,Y,4.929,4.985,0.244,0.247,Both nets with very little biomass.,1,NA
EN655,L9,15,EN655_L9_B15,2020-07-27T22:05:00Z,2020-07-27T22:25:00Z,40.0992,-70.8824,40.1009,-70.8729,148,140,148,146.77,50,200,20,20,1.83,1.83,1.23,1.23,29914,NA,NA,NA,NA,N,N,29913,NA,NA,NA,NA,N,N,N,N,N,NA,NA,NA,NA,No sample. Hit bottom. No time to re do.,3,hit bottom.
EN655,L6,16,EN655_L6_B16,2020-07-28T02:28:00Z,2020-07-28T02:38:00Z,40.1913,-70.8834,40.1913,-70.8834,93,80,60,60.09,45,90,20,20,1.79,1.79,1.24,1.24,29914,194924,212921,17997,141.318,Y,Y,29913,171493,189319,17826,139.975,Y,Y,Y,Y,Y,4.252,4.293,0.708,0.714,Very conservative after last tow and everything seemed fine.,1,NA
